N	Diagonal Sum
1	(1,0)
2	(2,1.11022e-16)
3	(3,5.77316e-15)
4	(4,7.77156e-16)
5	(5,2.9976e-15)
6	(6,-1.8277e-14)
7	(7,9.6867e-14)
8	(8,2.89491e-13)
9	(9,-7.05824e-14)
10	(10,6.15469e-12)
11	(11,2.36973e-10)
12	(12,4.56415e-10)
13	(13,6.00223e-10)
14	(14,-3.70565e-09)
15	(15,-1.41367e-09)
16	(16,2.68561e-08)
17	(17,-6.75068e-07)
18	(18,-9.28226e-06)
19	(18.9999,5.34104e-05)
20	(19.9993,0.000274182)
21	(21.0007,0.000142926)
22	(22.0052,0.00351987)
23	(23.009,0.0201546)
24	(23.8142,-0.0342624)
25	(25.3209,0.0755616)
26	(24.6721,-0.605893)
27	(25.3483,-2.11139)
28	(24.1623,5.06349)
29	(28.2396,1.60524)
30	(28.8276,0.858084)
31	(26.419,-4.59538)
32	(29.1269,-0.545056)
33	(28.1938,1.59812)
34	(30.7731,0.932113)
35	(32.9496,4.34592)
36	(32.0757,-0.547155)
37	(33.9081,-0.886811)
38	(40.4201,12.6528)
39	(33.5501,10.5275)
40	(34.7847,3.82315)
41	(39.5773,-5.68157)
42	(31.9402,-0.461847)
43	(34.7809,1.23357)
44	(34.8953,-1.98844)
45	(30.5673,1.20314)
46	(35.6611,0.979515)
47	(31.8249,7.71241)
48	(47.8287,15.7284)
49	(33.5515,3.96834)
50	(36.8737,-0.0503717)
51	(41.9543,-11.2908)
52	(45.1609,-6.63743)
53	(37.7686,-2.90228)
54	(69.1719,28.2172)
55	(32.6463,2.13953)
56	(58.7484,-3.89444)
57	(30.7165,-0.0630699)
58	(39.6077,-0.768688)
59	(41.1007,-3.26417)
60	(42.4449,0.467554)
61	(42.2453,-5.10741)
62	(44.0621,-3.9835)
63	(48.0616,-31.5732)
64	(54.9622,5.80273)
65	(43.1046,-0.781726)
66	(55.1597,-6.80274)
67	(48.6986,-2.48901)
68	(53.2183,-2.61775)
69	(45.2936,-4.6992)
70	(41.6383,7.09285)
71	(42.8946,0.344369)
72	(55.8237,-0.0996763)
73	(58.7513,6.38543)
74	(58.4988,6.21818)
75	(48.9512,1.39325)
76	(47.2254,-4.3128)
77	(38.3941,-14.5934)
78	(34.9842,1.54771)
79	(54.0361,13.0537)
80	(66.5639,11.7655)
81	(50.9963,-1.19709)
82	(57.0575,10.9445)
83	(46.1499,-9.94795)
84	(42.7289,-2.02175)
85	(26.7636,26.2362)
86	(51.9403,-1.78148)
87	(61.3966,-20.6482)
88	(74.615,-14.2886)
89	(58.5815,-5.04004)
90	(59.3182,-5.04643)
91	(48.7961,9.06539)
92	(48.509,8.30386)
93	(54.6512,-15.8649)
94	(8.94887,-42.0931)
95	(67.9908,12.32)
96	(57.6658,11.085)
97	(45.8909,-14.5049)
98	(53.6633,-0.73015)
99	(42.6553,-4.30261)
100	(57.3971,14.1026)
20000	(19771,6.37517)

error: arma::memory::acquire(): out of memory
terminate called after throwing an instance of 'std::bad_alloc'
  what():  std::bad_alloc
